frame,track_id,class_id,class_name,is_vehicle,conf,x1,y1,x2,y2,cx,cy,w,h
84,2,3,Car,True,0.81,1184.2,388.4,1696.3,942.5,1440.2,665.4,512.2,554.1
85,2,3,Car,True,0.792,1185.5,389.2,1696.6,943.0,1441.0,666.1,511.1,553.8
86,2,3,Car,True,0.718,1187.9,389.4,1696.7,941.7,1442.3,665.6,508.8,552.3
87,2,3,Car,True,0.744,1188.6,389.6,1695.9,940.9,1442.2,665.3,507.3,551.4
88,2,3,Car,True,0.776,1190.3,390.4,1696.4,941.5,1443.3,666.0,506.2,551.1
89,2,3,Car,True,0.742,1192.3,390.8,1695.9,940.5,1444.1,665.7,503.6,549.7
90,2,3,Car,True,0.753,1194.2,391.5,1695.6,940.3,1444.9,665.9,501.4,548.8
91,2,3,Car,True,0.74,1195.1,391.6,1695.0,940.5,1445.0,666.1,500.0,548.8
92,2,3,Car,True,0.633,1197.4,392.8,1693.7,940.0,1445.6,666.4,496.3,547.2
93,2,3,Car,True,0.6,1199.4,394.5,1692.0,939.8,1445.7,667.1,492.6,545.3
94,2,3,Car,True,0.469,1201.8,396.1,1691.4,939.8,1446.6,668.0,489.6,543.7
95,2,3,Car,True,0.716,1202.8,395.5,1691.3,940.0,1447.0,667.7,488.5,544.5
96,2,3,Car,True,0.781,1205.8,397.8,1689.6,939.1,1447.7,668.4,483.8,541.3
97,2,3,Car,True,0.669,1208.9,400.1,1686.5,936.7,1447.7,668.4,477.7,536.6
98,2,3,Car,True,0.632,1209.1,401.3,1684.2,937.0,1446.6,669.2,475.1,535.7
99,2,3,Car,True,0.669,1209.5,401.6,1682.2,936.7,1445.9,669.1,472.7,535.1
100,2,3,Car,True,0.693,1209.8,399.7,1681.7,936.3,1445.8,668.0,471.9,536.6
101,2,3,Car,True,0.613,1209.5,399.8,1679.2,935.9,1444.4,667.8,469.8,536.2
102,2,3,Car,True,0.772,1210.7,399.8,1677.8,934.7,1444.2,667.3,467.1,534.9
103,2,3,Car,True,0.741,1211.2,399.8,1677.1,935.2,1444.2,667.5,465.9,535.3
104,2,3,Car,True,0.704,1209.5,400.7,1672.7,935.9,1441.1,668.3,463.2,535.2
105,2,3,Car,True,0.658,1207.8,400.1,1670.7,937.8,1439.2,668.9,462.9,537.7
